subj_idx,sot,duration,button,response,rt,stim_col,condition,trial
110174,6033.25754044848,1,6813.06685297241,0,0.779809312523929,0,Neutral,1
110174,7833.96042858214,1,8298.59113705708,1,0.464630708474938,1,Neutral,2
110174,11351.8199880006,1,11943.9000323666,1,0.592080044366028,1,Neutral,3
110174,18371.0236975374,1,18871.7222832716,1,0.50069858573419,1,Neutral,4
110174,20171.7502966287,1,20702.6493524691,0,0.530899055840411,0,Neutral,5
110174,25423.5470078588,1,25889.6187387259,1,0.466071730867148,0,Neutral,6
110174,28941.538154389,1,29499.95945324,1,0.558421298850983,1,Angry,7
110174,32459.4089426755,1,33089.0780388164,0,0.629669096140868,0,Angry,8
110174,34243.437072079,1,34910.6780928924,1,0.667241020813352,1,Angry,9
110174,36010.7256115131,1,36520.5946638405,0,0.509869052327442,0,Angry,10
110174,39512.003442709,1,40333.3697371589,0,0.821366294449908,0,Angry,11
110174,43046.5692520535,1,43519.1891536114,0,0.47261990155794,0,Angry,12
110174,53533.6850422543,1,54053.1542236537,0,0.519469181399429,0,Neutral,13
110174,57034.9895735888,1,57616.3642715327,0,0.581374697943931,0,Neutral,14
110174,60553.0015567581,1,61159.2962841478,1,0.606294727389701,1,Neutral,15
110174,62320.2056037766,1,62953.3469829917,0,0.633141379215071,0,Neutral,16
110174,65821.5024290795,1,66494.8091506906,1,0.673306721611079,1,Neutral,17
110174,67588.8373775888,1,68141.7408775316,0,0.552903499942768,0,Neutral,18
110174,69372.8340268485,1,69945.127229452,1,0.572293202603541,1,Angry,19
110174,74624.6382597781,1,75186.5360852902,1,0.561897825512046,1,Angry,20
110174,78125.9498944136,1,78660.3541545785,0,0.534404260164913,0,Angry,21
110174,86929.0999727646,1,87450.3700004342,0,0.521270027669569,0,Angry,23
110174,88713.0558388298,1,89538.8364567175,1,0.825780617887722,1,Angry,24
110174,92214.3105448259,1,92770.5679494922,0,0.556257404666321,0,Neutral,25
110174,93998.3276952164,1,94538.8326319238,1,0.540504936707366,1,Neutral,26
