subj_idx,trial,sot
110174,22,81643.8687993148
110174,215,755137.55035702
110187,87,311445.659513472
110187,89,318448.210288301
110411,44,160844.706032462
110411,45,162612.1009414
110411,56,201242.793026928
110411,72,257396.578090043
110411,123,432777.112933301
110411,193,679833.609930688
112141,35,123417.557776155
120061,47,167964.054586003
120061,117,415303.400287748
120061,123,432859.684696483
120061,172,606439.757549527
120061,173,608206.49688451
120061,207,732601.313719128
120065,48,168991.228389126
120065,69,242601.061015919
120065,141,498526.625218376
120120,32,112864.374206027
121397,118,416638.384044682
121411,54,192325.847726636
121411,65,230923.071249314
121411,95,337862.094780282
121411,126,444833.963342767
121411,138,488616.312768259
121411,139,490382.973325123
121411,143,504388.575987874
121411,144,506155.254823227
121411,147,520160.287603169
121411,155,548187.710137479
121411,160,563959.446086198
121411,161,565726.689500961
121411,165,583233.736414878
121411,169,599022.005488125
121411,170,600789.468014226
121411,175,616561.625842816
121411,179,627098.796582553
121411,180,630600.009581325
121411,181,641087.117157101
121411,183,648089.640952922
121411,194,681402.398651257
121411,196,690154.763322636
121411,198,698907.915358382
121411,199,702409.163185276
121411,200,707661.112750102
121411,205,725200.773931406
121411,214,753244.172437803
121411,215,755011.429670373
121411,216,760263.330727027
121428,84,299466.506107087
122620,90,320410.462079038
122620,107,380015.02134929
122620,149,529118.07309511
122620,150,530885.372598955
122620,159,560695.980035761
210051,174,613147.750422938
210148,161,566108.005444749
210148,169,599420.223231956
220203,19,69275.7824871223
220203,91,322052.499780536
220232,30,106183.591560948
220419,59,210150.848499884
220519,24,88585.4851290917
220519,82,290391.51687409
220519,202,714377.506696349
220519,205,724897.971661397
220519,211,744171.580182122
220535,64,227324.678651331
220635,115,405869.925535333
220635,210,739039.899023474
220713,46,164147.097606426
220713,87,311551.341203102
220713,173,607827.892632971
220901,66,236108.412468669
220901,95,337795.105739164
220901,180,630534.079914899
220901,183,648023.678210123
220901,190,672582.721356874
220901,192,677851.173777467
220901,193,679618.424578937
220901,194,681385.819849061
221220,110,388637.058292217
221220,111,390388.421823909
221220,153,541142.69051179
221336,10,35821.1726026857
221336,38,135690.109309403
221336,39,137457.418006994
221511,163,577987.153084319
221511,190,672588.440921112
221511,191,676089.654305179
222652,51,183623.236494754
222652,78,276590.484937595
222652,105,372958.97539373
222652,119,423794.233198472
222652,145,511442.862029399
222652,154,546455.637001176
222652,159,560494.108986524
222652,160,563995.406312711
222652,161,565762.689833272
222652,162,567514.070044919
222652,167,590271.718541047
222652,168,592039.014652294
222652,175,616564.570560419
222652,176,618331.885890048
222652,182,644574.798766904
222652,193,679637.599663701
222652,194,681404.905414335
